seed,run_id,interval,metric_name,value
42,1,8,fp_bayesian,12.0
42,1,8,fp_static,0.0
42,1,8,fn_proposed,6.0
42,1,8,fn_bayesian,3.0
42,1,8,fn_static,7.0
42,1,8,pdr_proposed,86.0
42,1,8,pdr_bayesian,75.0
42,1,8,pdr_static,91.67
42,1,8,energy_proposed,78.21
42,1,8,energy_bayesian,78.37
42,1,8,energy_static,79.41
42,1,8,trust_mean_proposed,0.8614
42,1,8,trust_std_proposed,0.0381
42,1,8,trust_min_proposed,0.7001
42,1,8,trust_max_proposed,0.8894
42,1,8,blockchain_commit_latency_ms,1500.3013
42,1,8,blockchain_failed_commits,0.0
42,1,8,blockchain_commit_success_rate,1.0
42,1,8,packet_count_proposed,1.269506
42,1,8,packet_count_bayesian,1.268877
42,1,8,packet_count_static,1.251536
42,1,8,compute_cost_proposed,1.12
42,1,8,compute_cost_bayesian,1.1
42,1,8,compute_cost_static,0.95
42,1,8,communication_distance_proposed,470.896211
42,1,8,communication_distance_bayesian,482.057999
42,1,8,communication_distance_static,491.921293
42,1,8,routing_load_proposed,0.54
42,1,8,routing_load_bayesian,0.47
42,1,8,routing_load_static,0.55
42,1,8,routing_distance_proposed,503.553524
42,1,8,routing_distance_bayesian,485.727194
42,1,8,routing_distance_static,0.0
42,1,8,routing_noise_proposed,-0.043247
42,1,8,routing_noise_bayesian,-0.022697
42,1,8,routing_noise_static,0.0
42,1,9,accuracy_proposed,86.0
42,1,9,accuracy_bayesian,78.0
42,1,9,accuracy_static,86.0
42,1,9,precision_proposed,0.0
42,1,9,precision_bayesian,25.0
42,1,9,precision_static,0.0
42,1,9,recall_proposed,0.0
42,1,9,recall_bayesian,28.57
42,1,9,recall_static,0.0
42,1,9,f1_proposed,0.0
42,1,9,f1_bayesian,26.67
42,1,9,f1_static,0.0
42,1,9,tp_proposed,0.0
42,1,9,tp_bayesian,2.0
42,1,9,tp_static,0.0
42,1,9,tn_proposed,43.0
42,1,9,tn_bayesian,37.0
42,1,9,tn_static,43.0
42,1,9,fp_proposed,0.0
42,1,9,fp_bayesian,6.0
42,1,9,fp_static,0.0
42,1,9,fn_proposed,7.0
42,1,9,fn_bayesian,5.0
42,1,9,fn_static,7.0
42,1,9,pdr_proposed,92.0
42,1,9,pdr_bayesian,78.0
42,1,9,pdr_static,94.0
42,1,9,energy_proposed,75.52
42,1,9,energy_bayesian,75.7
42,1,9,energy_static,76.85
42,1,9,trust_mean_proposed,0.8557
42,1,9,trust_std_proposed,0.0399
42,1,9,trust_min_proposed,0.6872
42,1,9,trust_max_proposed,0.8857
42,1,9,blockchain_commit_latency_ms,1501.3002
42,1,9,blockchain_failed_commits,0.0
42,1,9,blockchain_commit_success_rate,1.0
42,1,9,packet_count_proposed,1.257724
42,1,9,packet_count_bayesian,1.255632
42,1,9,packet_count_static,1.256638
42,1,9,compute_cost_proposed,1.12
42,1,9,compute_cost_bayesian,1.1
42,1,9,compute_cost_static,0.95
42,1,9,communication_distance_proposed,507.205668
42,1,9,communication_distance_bayesian,496.718202
42,1,9,communication_distance_static,506.510647
42,1,9,routing_load_proposed,0.55
42,1,9,routing_load_bayesian,0.45
42,1,9,routing_load_static,0.55
42,1,9,routing_distance_proposed,0.0
42,1,9,routing_distance_bayesian,562.381183
42,1,9,routing_distance_static,0.0
42,1,9,routing_noise_proposed,0.0
42,1,9,routing_noise_bayesian,0.000811
42,1,9,routing_noise_static,0.0
42,1,10,accuracy_proposed,90.0
42,1,10,accuracy_bayesian,68.0
42,1,10,accuracy_static,86.0
42,1,10,precision_proposed,100.0
42,1,10,precision_bayesian,28.57
42,1,10,precision_static,0.0
42,1,10,recall_proposed,28.57
42,1,10,recall_bayesian,85.71
42,1,10,recall_static,0.0
42,1,10,f1_proposed,44.44
42,1,10,f1_bayesian,42.86
42,1,10,f1_static,0.0
42,1,10,tp_proposed,2.0
42,1,10,tp_bayesian,6.0
42,1,10,tp_static,0.0
42,1,10,tn_proposed,43.0
42,1,10,tn_bayesian,28.0
42,1,10,tn_static,43.0
42,1,10,fp_proposed,0.0
